feature,coef_log,effect_pct
log_area,0.4457389824556688,56.2
tier_premium,0.2517984550056573,28.6
tier_budget,-0.2206870298050412,-19.8
furnishing_unknown,-0.1447049725413407,-13.5
median_rps_loo,0.10556579505940453,11.1
furnishing_furnished,0.08940294890645259,9.4
floor_missing,0.06408540357990729,6.6
bhk,0.055549015768319596,5.7
furnishing_unfurnished,0.03580593928840302,3.6
tier_mid,-0.031111425200616105,-3.1
furnishing_semi-furnished,0.01949608434648507,2.0
floor,0.015214958103461717,1.5
metro_km,0.010182051589644846,1.0
