listing_id,locality,tier,bhk,area_sqft,furnishing,floor,metro_km,lat,lng,actual_rent,predicted_rent,error,pct_error,abs_pct_error,solo_locality,pricing_flag,median_rent,median_rent_per_sqft
1,Goregaon West,budget,2,617,furnished,33.0,5.7,19.167242,72.841577,75000,59802,15198,20.3,20.3,0,Listed above model (check overpricing),76000.0,98.2
2,Bandra East,mid,3,1000,semi-furnished,5.0,1.12,19.058016,72.844382,120000,123659,-3659,-3.0,3.0,0,In line with model,205000.0,136.0
3,Malad East,budget,2,1000,furnished,11.0,5.15,19.188328,72.860617,80000,93538,-13538,-16.9,16.9,0,Listed below model (possible underpricing),65000.0,92.5
4,Powai,mid,2,671,furnished,9.0,2.49,19.111612,72.902057,75000,97491,-22491,-30.0,30.0,0,Listed below model (possible underpricing),85000.0,104.0
5,Malad West,budget,1,400,semi-furnished,9.0,6.75,19.178532,72.838608,35000,48069,-13069,-37.3,37.3,0,Listed below model (possible underpricing),60000.0,94.1
6,Kandivali East,budget,2,1160,semi-furnished,7.0,3.95,19.2004765,72.8736892,55000,88083,-33083,-60.2,60.2,0,Listed below model (possible underpricing),71500.0,52.15
7,Dahisar East,budget,1,410,semi-furnished,11.0,0.74,19.248557,72.859999,33000,34654,-1654,-5.0,5.0,0,In line with model,36000.0,88.4
8,Bandra West,premium,3,1366,semi-furnished,1.0,1.89,19.0865579894721,72.8810664643325,240000,252812,-12812,-5.3,5.3,0,In line with model,175000.0,188.2
9,Santacruz East,budget,2,750,semi-furnished,20.0,0.54,19.075022,72.84948,95000,62513,32487,34.2,34.2,0,Listed above model (check overpricing),74000.0,89.65
10,Powai,mid,1,400,furnished,14.0,3.74,19.116994,72.913059,90000,46295,43705,48.6,48.6,0,Listed above model (check overpricing),85000.0,104.0
11,Malad West,budget,2,797,semi-furnished,7.0,5.88,19.189026,72.834793,75000,69522,5478,7.3,7.3,0,In line with model,60000.0,94.1
12,Santacruz East,budget,2,600,semi-furnished,7.0,0.54,19.075022,72.84948,90000,51603,38397,42.7,42.7,0,Listed above model (check overpricing),74000.0,89.65
13,Jogeshwari East,budget,1,435,unfurnished,12.0,1.8,19.137776,72.861949,50000,38900,11100,22.2,22.2,0,Listed above model (check overpricing),65000.0,100.0
14,Borivali East,budget,2,630,unfurnished,3.0,1.82,19.219068,72.868479,48000,52018,-4018,-8.4,8.4,0,In line with model,55000.0,77.15
15,Vikhroli West,budget,1,460,semi-furnished,13.0,4.74,19.109105,72.923653,48000,39877,8123,16.9,16.9,0,Listed above model (check overpricing),65000.0,93.8
16,Kandivali West,budget,1,386,semi-furnished,12.0,5.4,19.206228,72.821377,32000,32699,-699,-2.2,2.2,0,In line with model,40000.0,82.9
17,Bhandup West,budget,5,540,semi-furnished,9.0,4.15,19.155035,72.941318,36000,65243,-29243,-81.2,81.2,0,Listed below model (possible underpricing),46500.0,65.5
18,Powai,mid,1,404,furnished,9.0,2.83,,,141880,55073,86807,61.2,61.2,0,Listed above model (check overpricing),85000.0,104.0
19,Powai,mid,2,800,unfurnished,9.0,2.28,19.12393,72.89533,60000,111763,-51763,-86.3,86.3,0,Listed below model (possible underpricing),85000.0,104.0
20,Mulund West,budget,2,606,unfurnished,9.0,3.55,19.167089,72.935158,55000,62977,-7977,-14.5,14.5,0,In line with model,62500.0,65.9
21,Lower Parel,premium,4,1129,semi-furnished,15.0,0.88,19.0001926,72.8256762,220000,205159,14841,6.7,6.7,0,In line with model,280000.0,181.35
22,Lower Parel,premium,4,1100,unfurnished,9.0,0.33,18.99253,72.824003,220000,268652,-48652,-22.1,22.1,0,Listed below model (possible underpricing),280000.0,181.35
23,Sakinaka,mid,1,460,furnished,5.0,1.22,19.097184,72.884744,60000,51794,8206,13.7,13.7,0,In line with model,65000.0,108.2
24,Powai,mid,2,888,semi-furnished,5.0,2.49,19.111612,72.902057,85000,94979,-9979,-11.7,11.7,0,In line with model,85000.0,104.0
25,Prabhadevi,premium,1,375,unfurnished,12.0,0.27,19.0137,72.832007,50000,72439,-22439,-44.9,44.9,0,Listed below model (possible underpricing),272500.0,183.3
26,Malad West,budget,2,700,semi-furnished,5.0,6.58,19.180973,72.836672,65000,61775,3225,5.0,5.0,0,In line with model,60000.0,94.1
27,Malad West,budget,1,420,semi-furnished,9.0,2.83,,,55000,43413,11587,21.1,21.1,0,Listed above model (check overpricing),60000.0,94.1
28,Malad West,budget,2,900,semi-furnished,9.0,6.62,19.177239,72.841579,70000,105939,-35939,-51.3,51.3,0,Listed below model (possible underpricing),60000.0,94.1
29,Pali Hill,premium,4,1800,semi-furnished,9.0,2.3,19.067719,72.827637,600000,322246,277754,46.3,46.3,1,Listed above model (check overpricing),600000.0,333.3
30,Bandra West,premium,2,650,semi-furnished,6.0,2.38,19.05955960049545,72.82952886074781,150000,118352,31648,21.1,21.1,0,Listed above model (check overpricing),175000.0,188.2
31,Ghatkopar East,budget,2,700,furnished,9.0,4.33,19.0907441339125,72.9152309957184,50000,77008,-27008,-54.0,54.0,0,Listed below model (possible underpricing),75000.0,83.3
32,Andheri West,mid,2,815,semi-furnished,5.0,4.66,19.1280405,72.8163742,80000,90927,-10927,-13.7,13.7,0,In line with model,95000.0,116.75
33,Marol,mid,2,750,semi-furnished,9.0,0.69,19.122675,72.879283,60000,107695,-47695,-79.5,79.5,0,Listed below model (possible underpricing),82000.0,101.7
34,Sandesh Nagar,mid,3,1750,semi-furnished,9.0,1.89,19.0865579894721,72.8810664643325,250000,241148,8852,3.5,3.5,0,In line with model,100000.0,142.9
35,Bandra East,mid,3,1389,furnished,3.0,0.79,19.056192,72.848892,310000,167542,142458,46.0,46.0,0,Listed above model (check overpricing),205000.0,136.0
36,Andheri West,mid,3,1450,furnished,9.0,2.83,,,300000,228846,71154,23.7,23.7,0,Listed above model (check overpricing),95000.0,116.75
