source,locality,city,bhk,price,price_unit,area_sqft,floor,furnishing,url,scraped_locality,lat,lng,location_exact,floor_missing,rent_per_sqft,metro_km
squareyards,Goregaon West,Mumbai,2,75000.0,per_month,617,33.0,furnished,https://www.squareyards.com/rental-2-bhk-617-sq-ft-apartment-in-chandak-34-park-estate/9825891,Goregaon West,19.167242,72.841577,True,0,121.6,5.7
squareyards,Bandra East,Mumbai,3,120000.0,per_month,1000,5.0,semi-furnished,https://www.squareyards.com/rental-3-bhk-extra-room-1000-sq-ft-apartment-in-shakti-sadan-apartment/10513129,Bandra East,19.058016,72.844382,True,0,120.0,1.12
squareyards,Malad East,Mumbai,2,80000.0,per_month,1000,11.0,furnished,https://www.squareyards.com/rental-2-bhk-1000-sq-ft-apartment-in-rushabh-apartment/10323403,Malad East,19.188328,72.860617,True,0,80.0,5.15
squareyards,Powai,Mumbai,2,75000.0,per_month,671,9.0,furnished,https://www.squareyards.com/rental-2-bhk-671-sq-ft-apartment-in-shapoorji-pallonji-vicinia/9877009,Powai,19.111612,72.902057,True,1,111.8,2.49
squareyards,Malad West,Mumbai,1,35000.0,per_month,400,9.0,semi-furnished,https://www.squareyards.com/rental-1-bhk-400-sq-ft-apartment-in-mayfair-housing-mayfair-marvel/10543968,Malad West,19.178532,72.838608,True,1,87.5,6.75
squareyards,Kandivali East,Mumbai,2,55000.0,per_month,1160,7.0,semi-furnished,https://www.squareyards.com/rental-2-bhk-prayer-room-1160-sq-ft-apartment-in-kandivali-east/10511072,Kandivali East,19.2004765,72.8736892,True,0,47.4,3.95
squareyards,Dahisar East,Mumbai,1,33000.0,per_month,410,11.0,semi-furnished,https://www.squareyards.com/rental-1-bhk-410-sq-ft-apartment-in-roswalt-ray/10487113,Dahisar East,19.248557,72.859999,True,0,80.5,0.74
squareyards,Bandra West,Mumbai,3,240000.0,per_month,1366,1.0,semi-furnished,https://www.squareyards.com/rental-3-bhk-prayer-room-1366-sq-ft-apartment-in-bandra-west/10536707,Bandra West,19.0865579894721,72.8810664643325,True,0,175.7,1.89
squareyards,Santacruz East,Mumbai,2,95000.0,per_month,750,20.0,semi-furnished,https://www.squareyards.com/rental-2-bhk-750-sq-ft-apartment-in-kalpataru-primus-residence/10544334,Santacruz East,19.075022,72.84948,True,0,126.7,0.54
squareyards,Powai,Mumbai,1,90000.0,per_month,400,14.0,furnished,https://www.squareyards.com/rental-1-bhk-400-sq-ft-apartment-in-hiranandani-regent-hill/10370763,Powai,19.116994,72.913059,True,0,225.0,3.74
squareyards,Malad West,Mumbai,2,75000.0,per_month,797,7.0,semi-furnished,https://www.squareyards.com/rental-2-bhk-797-sq-ft-apartment-in-raj-infinia/10545461,Malad West,19.189026,72.834793,True,0,94.1,5.88
squareyards,Santacruz East,Mumbai,2,90000.0,per_month,600,7.0,semi-furnished,https://www.squareyards.com/rental-2-bhk-600-sq-ft-apartment-in-kalpataru-primus-residence/10545829,Santacruz East,19.075022,72.84948,True,0,150.0,0.54
squareyards,Jogeshwari East,Mumbai,1,50000.0,per_month,435,12.0,unfurnished,https://www.squareyards.com/rental-1-bhk-435-sq-ft-apartment-in-kalpataru-vivant/10542496,Jogeshwari East,19.137776,72.861949,True,0,114.9,1.8
squareyards,Borivali East,Mumbai,2,48000.0,per_month,630,3.0,unfurnished,https://www.squareyards.com/rental-2-bhk-630-sq-ft-apartment-in-raghav-paradise/10513668,Borivali East,19.219068,72.868479,True,0,76.2,1.82
squareyards,Vikhroli West,Mumbai,1,48000.0,per_month,460,13.0,semi-furnished,https://www.squareyards.com/rental-1-bhk-study-room-460-sq-ft-apartment-in-ripl-aikya-roots/10542790,Vikhroli West,19.109105,72.923653,True,0,104.3,4.74
squareyards,Kandivali West,Mumbai,1,32000.0,per_month,386,12.0,semi-furnished,https://www.squareyards.com/rental-1-bhk-386-sq-ft-apartment-in-veena-smart-homes/10475712,Kandivali West,19.206228,72.821377,True,0,82.9,5.4
squareyards,Bhandup West,Mumbai,5,36000.0,per_month,540,9.0,semi-furnished,https://www.squareyards.com/rental-1-5-bhk-540-sq-ft-apartment-in-atul-horizon/10261528,Bhandup West,19.155035,72.941318,True,1,66.7,4.15
squareyards,Powai,Mumbai,1,141880.0,per_month,404,9.0,furnished,https://www.squareyards.com/rental-404-sq-ft-office-space-in-supreme-business-park/9540309,Powai,,,False,1,351.2,
squareyards,Powai,Mumbai,2,60000.0,per_month,800,9.0,unfurnished,https://www.squareyards.com/rental-2-bhk-study-room-800-sq-ft-apartment-in-lake-avenue-chs/10510331,Powai,19.12393,72.89533,True,1,75.0,2.28
squareyards,Mulund West,Mumbai,2,55000.0,per_month,606,9.0,unfurnished,https://www.squareyards.com/rental-2-bhk-606-sq-ft-apartment-in-piramal-revanta/10438742,Mulund West,19.167089,72.935158,True,1,90.8,3.55
squareyards,Lower Parel,Mumbai,4,220000.0,per_month,1129,15.0,semi-furnished,https://www.squareyards.com/rental-4-bhk-1129-sq-ft-apartment-in-darshan-rico/10223936,Lower Parel,19.0001926,72.8256762,True,0,194.9,0.88
squareyards,Lower Parel,Mumbai,4,220000.0,per_month,1100,9.0,unfurnished,https://www.squareyards.com/rental-4-bhk-1100-sq-ft-apartment-in-darshan-rico/10223614,Lower Parel,18.99253,72.824003,True,1,200.0,0.33
squareyards,Sakinaka,Mumbai,1,60000.0,per_month,460,5.0,furnished,https://www.squareyards.com/rental-1-bhk-460-sq-ft-apartment-in-pride-panorama-mumbai/10546073,Sakinaka,19.097184,72.884744,True,0,130.4,1.22
squareyards,Powai,Mumbai,2,85000.0,per_month,888,5.0,semi-furnished,https://www.squareyards.com/rental-2-bhk-prayer-room-888-sq-ft-apartment-in-shapoorji-pallonji-vicinia/10512070,Powai,19.111612,72.902057,True,0,95.7,2.49
squareyards,Prabhadevi,Mumbai,1,50000.0,per_month,375,12.0,unfurnished,https://www.squareyards.com/rental-1-bhk-prayer-room-375-sq-ft-apartment-in-kapila-chs/10541183,Prabhadevi,19.0137,72.832007,True,0,133.3,0.27
squareyards,Malad West,Mumbai,2,65000.0,per_month,700,5.0,semi-furnished,https://www.squareyards.com/rental-2-bhk-700-sq-ft-apartment-in-divya-smruthi/10428240,Malad West,19.180973,72.836672,True,0,92.9,6.58
squareyards,Malad West,Mumbai,1,55000.0,per_month,420,9.0,semi-furnished,https://www.squareyards.com/rental-420-sq-ft-office-space-in-kemp-plaza/10530034,Malad West,,,False,1,131.0,
squareyards,Malad West,Mumbai,2,70000.0,per_month,900,9.0,semi-furnished,https://www.squareyards.com/rental-2-bhk-900-sq-ft-apartment-in-asmita-sand-dunes/10515633,Malad West,19.177239,72.841579,True,1,77.8,6.62
squareyards,Pali Hill,Mumbai,4,600000.0,per_month,1800,9.0,semi-furnished,https://www.squareyards.com/rental-4-bhk-servant-room-extra-room-1800-sq-ft-apartment-in-rustomjee-parishram/9878899,Pali Hill,19.067719,72.827637,True,1,333.3,2.3
squareyards,Bandra West,Mumbai,2,150000.0,per_month,650,6.0,semi-furnished,https://www.squareyards.com/rental-2-bhk-650-sq-ft-apartment-in-bandra-west/9877290,Bandra West,19.05955960049545,72.82952886074781,True,0,230.8,2.38
squareyards,Ghatkopar East,Mumbai,2,50000.0,per_month,700,9.0,furnished,https://www.squareyards.com/rental-2-bhk-700-sq-ft-apartment-in-everest-gardens-chs/10364067,Ghatkopar East,19.0907441339125,72.9152309957184,True,1,71.4,4.33
squareyards,Andheri West,Mumbai,2,80000.0,per_month,815,5.0,semi-furnished,https://www.squareyards.com/rental-2-bhk-815-sq-ft-apartment-in-sagar-kanya/10364055,Andheri West,19.1280405,72.8163742,True,0,98.2,4.66
squareyards,Marol,Mumbai,2,60000.0,per_month,750,9.0,semi-furnished,https://www.squareyards.com/rental-2-bhk-750-sq-ft-apartment-in-navkar-panchavati-greens/10521010,Marol,19.122675,72.879283,True,1,80.0,0.69
squareyards,Sandesh Nagar,Mumbai,3,250000.0,per_month,1750,9.0,semi-furnished,https://www.squareyards.com/rental-3-bhk-pooja-room-servant-room-study-room-extra-room-basement-store-room-1750-sq-ft-apartment-in-sandesh-nagar/10363829,Sandesh Nagar,19.0865579894721,72.8810664643325,True,1,142.9,1.89
squareyards,Bandra East,Mumbai,3,310000.0,per_month,1389,3.0,furnished,https://www.squareyards.com/rental-3-bhk-extra-room-1389-sq-ft-apartment-in-adani-ten-bkc/9775135,Bandra East,19.056192,72.848892,True,0,223.2,0.79
squareyards,Andheri West,Mumbai,3,300000.0,per_month,1450,9.0,furnished,https://www.squareyards.com/rental-1450-sq-ft-office-space-in-citi-mall/10335844,Andheri West,,,False,1,206.9,
squareyards,Vikhroli East,Mumbai,2,45045.0,per_month,573,12.0,unfurnished,https://www.squareyards.com/rental-2-bhk-pooja-room-573-sq-ft-apartment-in-vaibhavlaxmi-templum-heights/10008535,Vikhroli East,19.119498,72.937862,True,0,78.6,6.35
squareyards,Kandivali East,Mumbai,3,88000.0,per_month,1622,22.0,semi-furnished,https://www.squareyards.com/rental-3-bhk-pooja-room-1622-sq-ft-apartment-in-kalpataru-vienta/10485637,Kandivali East,19.198204,72.855462,True,0,54.3,4.13
squareyards,Antop Hill,Mumbai,2,65000.0,per_month,900,2.0,furnished,https://www.squareyards.com/rental-2-bhk-extra-room-store-room-900-sq-ft-apartment-in-unity-wadala-chs/10530982,Antop Hill,19.02339,72.86888,True,0,72.2,2.7
squareyards,Wadala East,Mumbai,2,90000.0,per_month,800,1.0,furnished,https://www.squareyards.com/rental-2-bhk-800-sq-ft-apartment-in-dosti-acres-aster/10444868,Wadala East,19.02311,72.865931,True,0,112.5,2.81
squareyards,Andheri West,Mumbai,4,400000.0,per_month,2350,23.0,unfurnished,https://www.squareyards.com/rental-4-bhk-store-room-2350-sq-ft-apartment-in-windsor-grande-residences/10530589,Andheri West,19.151569,72.833298,True,0,170.2,5.11
squareyards,Chandivali,Mumbai,5,130000.0,per_month,850,6.0,furnished,https://www.squareyards.com/rental-2-5-bhk-pooja-room-850-sq-ft-apartment-in-nahar-amrit-shakti-frangipani/10464669,Chandivali,19.107837,72.89823,True,0,152.9,2.07
squareyards,Cuffe Parade,Mumbai,5,275000.0,per_month,1240,12.0,furnished,https://www.squareyards.com/rental-2-5-bhk-pooja-room-servant-room-study-room-1240-sq-ft-apartment-in-palm-springs-cuffe-parade/10428931,Cuffe Parade,18.91529,72.821723,True,0,221.8,0.22
squareyards,Lower Parel,Mumbai,2,150000.0,per_month,720,15.0,semi-furnished,https://www.squareyards.com/rental-2-bhk-extra-room-720-sq-ft-apartment-in-lower-parel/10484232,Lower Parel,18.9982461,72.82696460000001,True,0,208.3,0.97
squareyards,Bandra East,Mumbai,4,400000.0,per_month,1536,9.0,semi-furnished,https://www.squareyards.com/rental-4-bhk-1536-sq-ft-apartment-in-adani-ten-bkc/10275687,Bandra East,19.056192,72.848892,True,1,260.4,0.79
squareyards,Mulund East,Mumbai,2,100000.0,per_month,1350,25.0,furnished,https://www.squareyards.com/rental-2-bhk-1350-sq-ft-apartment-in-gagangiri-elanza-chs/10427578,Mulund East,19.162276,72.955732,True,0,74.1,2.82
squareyards,Powai,Mumbai,2,36000.0,per_month,657,2.0,unfurnished,https://www.squareyards.com/rental-2-bhk-prayer-room-657-sq-ft-apartment-in-hiranandani-brentwood-mumbai/10546774,Powai,19.118717,72.9102,True,0,54.8,3.51
squareyards,Sandesh Nagar,Mumbai,1,30000.0,per_month,470,9.0,semi-furnished,https://www.squareyards.com/rental-470-sq-ft-office-space-in-sandesh-nagar/10468917,Sandesh Nagar,,,False,1,63.8,
squareyards,Malad West,Mumbai,1,40000.0,per_month,600,12.0,unfurnished,https://www.squareyards.com/rental-1-bhk-600-sq-ft-apartment-in-shree-vallabh-apartment-malad/10439565,Malad West,19.177983,72.84021,True,0,66.7,6.74
squareyards,Borivali West,Mumbai,1,29000.0,per_month,420,2.0,semi-furnished,https://www.squareyards.com/rental-1-bhk-prayer-room-420-sq-ft-apartment-in-sea-grace-apartment/10530418,Borivali West,19.2442,72.845605,True,0,69.0,1.95
