source,locality,city,bhk,price,price_unit,deposit,area_sqft,floor,total_floors,furnishing,url,scraped_locality,lat,lng,location_exact
squareyards,Goregaon West,Mumbai,2,75000,per_month,,617,33,,furnished,https://www.squareyards.com/rental-2-bhk-617-sq-ft-apartment-in-chandak-34-park-estate/9825891,Goregaon West,19.167242,72.841577,True
squareyards,Bandra East,Mumbai,3,120000,per_month,,1000,5,,semi-furnished,https://www.squareyards.com/rental-3-bhk-extra-room-1000-sq-ft-apartment-in-shakti-sadan-apartment/10513129,Bandra East,19.058016,72.844382,True
squareyards,Malad East,Mumbai,2,80000,per_month,,1000,11,,furnished,https://www.squareyards.com/rental-2-bhk-1000-sq-ft-apartment-in-rushabh-apartment/10323403,Malad East,19.188328,72.860617,True
squareyards,Kajupada,Mumbai,1,350000,per_month,,470,,,furnished,https://www.squareyards.com/rental-1-bhk-store-room-470-sq-ft-apartment-in-kajupada/10504125,Kajupada,19.2345191,72.87030949999999,True
squareyards,Powai,Mumbai,2,75000,per_month,,671,,,furnished,https://www.squareyards.com/rental-2-bhk-671-sq-ft-apartment-in-shapoorji-pallonji-vicinia/9877009,Powai,19.111612,72.902057,True
squareyards,Malad West,Mumbai,1,35000,per_month,,400,,,semi-furnished,https://www.squareyards.com/rental-1-bhk-400-sq-ft-apartment-in-mayfair-housing-mayfair-marvel/10543968,Malad West,19.178532,72.838608,True
squareyards,Kandivali East,Mumbai,2,55000,per_month,,1160,7,14,semi-furnished,https://www.squareyards.com/rental-2-bhk-prayer-room-1160-sq-ft-apartment-in-kandivali-east/10511072,Kandivali East,19.2004765,72.8736892,True
squareyards,Dahisar East,Mumbai,1,33000,per_month,,410,11,,semi-furnished,https://www.squareyards.com/rental-1-bhk-410-sq-ft-apartment-in-roswalt-ray/10487113,Dahisar East,19.248557,72.859999,True
squareyards,Bandra West,Mumbai,3,240000,per_month,,1366,1,,semi-furnished,https://www.squareyards.com/rental-3-bhk-prayer-room-1366-sq-ft-apartment-in-bandra-west/10536707,Bandra West,19.0865579894721,72.8810664643325,True
squareyards,Santacruz East,Mumbai,2,95000,per_month,,750,20,20,semi-furnished,https://www.squareyards.com/rental-2-bhk-750-sq-ft-apartment-in-kalpataru-primus-residence/10544334,Santacruz East,19.075022,72.84948,True
squareyards,Powai,Mumbai,1,90000,per_month,,400,14,,furnished,https://www.squareyards.com/rental-1-bhk-400-sq-ft-apartment-in-hiranandani-regent-hill/10370763,Powai,19.116994,72.913059,True
